ID_cliente,nome_cliente,sexo_biologico_cliente,idade_cliente,cidade_cliente,estado_cliente,regiao_cliente
54,Isadora Souza,Feminino,36,São José,Santa Catarina,Sul
55,Vitor Gabriel da Luz,Masculino,45,Palhoça,Santa Catarina,Sul
56,Mariane Pacheco,Feminino,28,Salvador,Bahia,Nordeste
57,Maria Liz Fonseca,Feminino,32,Teresina,Piauí,Nordeste
58,Hellena Carvalho,Feminino,38,São Paulo,São Paulo,Sudeste
59,Sophia Monteiro,Feminino,38,São José dos Campos,São Paulo,Sudeste
60,Caleb Sá,Masculino,21,Rio de Janeiro,Rio de Janeiro,Sudeste
61,Ana Julia Camargo,Feminino,31,Goiânia,Goiás,Centro-Oeste
62,Daniela Pires,Feminino,33,Cuiabá,Mato Grosso,Centro-Oeste
63,Eduarda Vieira,Feminino,39,Blumenau,Santa Catarina,Sul
64,Mariana Peixoto,Feminino,38,Linhares,Espírito Santo,Sudeste
65,Ana Luiza Gomes,Feminino,34,Belo Horizonte,Minas Gerais,Sudeste
66,Maria Helena Peixoto,Feminino,18,Manaus,Amazonas,Norte
67,Nina Moura,Feminino,35,São Paulo,São Paulo,Sudeste
68,José Novaes,Masculino,36,São Paulo,São Paulo,Sudeste
69,Anthony Rodrigues,Masculino,60,Manaus,Amazonas,Norte
70,Bruna Rodrigues,Feminino,33,Rio de Janeiro,Rio de Janeiro,Sudeste
71,Zoe Sá,Feminino,38,Sorocaba,São Paulo,Sudeste
72,Juliana Vargas,Feminino,46,Salvador,Bahia,Nordeste
73,Manuela Camargo,Feminino,43,Cascavel,Paraná,Sul
74,Juan Lopes,Masculino,49,São João de Meriti,Rio de Janeiro,Sudeste
75,Emanuel Marques,Masculino,21,Contagem,Minas Gerais,Sudeste
76,Alexandre Silveira,Masculino,25,São Paulo,São Paulo,Sudeste
77,João Montenegro,Masculino,29,Niterói,Rio de Janeiro,Sudeste
78,Emanuelly Montenegro,Feminino,19,Santos,São Paulo,Sudeste
79,Cauê Pires,Masculino,36,Brasília,Distrito Federal,Centro-Oeste
80,Letícia Porto,Feminino,26,Cachoeiro de Itapemirim,Espírito Santo,Sudeste
81,Sofia Pereira,Feminino,50,Rio de Janeiro,Rio de Janeiro,Sudeste
82,Fernanda Cassiano,Feminino,27,Sinop,Mato Grosso,Centro-Oeste
83,Marcelo Teixeira,Masculino,32,Ipatinga,Minas Gerais,Sudeste
84,Enrico Nogueira,Masculino,43,Mossoró,Rio Grande do Norte,Nordeste
85,Vitória Abreu,Feminino,23,Londrina,Paraná,Sul
86,Luna Mendonça,Feminino,19,São Paulo,São Paulo,Sudeste
87,Antony Camargo,Masculino,37,Cabo Frio,Rio de Janeiro,Sudeste
88,Luiz Miguel das Neves,Masculino,38,Goiânia,Goiás,Centro-Oeste
89,Isabella Araújo,Feminino,43,Porto Alegre,Rio Grande do Sul,Sul
90,Isabella Nunes,Feminino,40,Águas Lindas de Goiás,Goiás,Centro-Oeste
91,Anna Liz Barros,Feminino,38,Limeira,São Paulo,Sudeste
92,Ryan Azevedo,Masculino,28,Rio de Janeiro,Rio de Janeiro,Sudeste
93,Yasmin Vargas,Feminino,37,Cabo Frio,Rio de Janeiro,Sudeste
94,Carolina Cardoso,Feminino,38,São Paulo,São Paulo,Sudeste
95,Olívia Novaes,Feminino,28,Rio de Janeiro,Rio de Janeiro,Sudeste
96,Enzo da Luz,Masculino,54,Mauá,São Paulo,Sudeste
97,Vinícius Pereira,Masculino,40,Fortaleza,Ceará,Nordeste
98,Mariana Cunha,Feminino,25,Goiânia,Goiás,Centro-Oeste
99,Ágatha Sá,Feminino,43,São Vicente,São Paulo,Sudeste
100,Gabriela Silva,Feminino,45,Boa Vista,Roraima,Norte
101,Leonardo Guerra,Masculino,39,Florianópolis,Santa Catarina,Sul
102,Maria Fernanda Macedo,Feminino,33,Belo Horizonte,Minas Gerais,Sudeste
103,Valentim Machado,Masculino,27,Salvador,Bahia,Nordeste
104,Dante da Cruz,Masculino,34,Itaboraí,Rio de Janeiro,Sudeste
105,Heloisa Azevedo,Feminino,38,Macapá,Amapá,Norte
106,Maitê Almeida,Feminino,35,Serra,Espírito Santo,Sudeste
107,Yuri da Conceição,Masculino,50,Sorocaba,São Paulo,Sudeste
108,Hellena Abreu,Feminino,41,Manaus,Amazonas,Norte
109,Brayan Santos,Masculino,26,São Paulo,São Paulo,Sudeste
110,Ana Liz da Conceição,Feminino,24,Jaraguá do Sul,Santa Catarina,Sul
111,Bernardo Andrade,Masculino,40,Ibirité,Minas Gerais,Sudeste
112,Luísa Barbosa,Feminino,33,São Paulo,São Paulo,Sudeste
113,Théo da Costa,Masculino,42,Castanhal,Pará,Norte
114,João Lucas Rios,Masculino,40,Linhares,Espírito Santo,Sudeste
115,Raquel Cunha,Feminino,34,Jacareí,São Paulo,Sudeste
116,Ágatha Cardoso,Feminino,27,Araraquara,São Paulo,Sudeste
117,Renan da Cruz,Masculino,20,Recife,Pernambuco,Nordeste
118,Olívia Jesus,Feminino,37,Itabuna,Bahia,Nordeste
119,Gabriel Brito,Masculino,23,Itaquaquecetuba,São Paulo,Sudeste
120,Aylla Ribeiro,Feminino,26,Porto Velho,Rondônia,Norte
121,Marina Fogaça,Feminino,37,Senador Canedo,Goiás,Centro-Oeste
122,Mariana Jesus,Feminino,36,Ipatinga,Minas Gerais,Sudeste
123,Nina Siqueira,Feminino,24,Santarém,Pará,Norte
124,Benjamim Rocha,Masculino,46,Belém,Pará,Norte
125,Beatriz Araújo,Feminino,46,Curitiba,Paraná,Sul
126,Maria Luiza Siqueira,Feminino,40,Maracanaú,Ceará,Nordeste
127,Lucca Caldeira,Masculino,40,Lauro de Freitas,Bahia,Nordeste
128,Josué Correia,Masculino,40,Taboão da Serra,São Paulo,Sudeste
129,Gabriel Nascimento,Masculino,74,Mauá,São Paulo,Sudeste
130,Melissa Carvalho,Feminino,45,Presidente Prudente,São Paulo,Sudeste
131,Mariana Cirino,Feminino,42,Goiânia,Goiás,Centro-Oeste
132,João Lucas Martins,Masculino,27,Serra,Espírito Santo,Sudeste
133,Isadora Barbosa,Feminino,33,São Paulo,São Paulo,Sudeste
134,Melina Novaes,Feminino,58,Manaus,Amazonas,Norte
135,Carlos Eduardo Aragão,Masculino,18,Niterói,Rio de Janeiro,Sudeste
136,Vitor Hugo Albuquerque,Masculino,30,Rio de Janeiro,Rio de Janeiro,Sudeste
137,Ayla Sá,Feminino,46,Cuiabá,Mato Grosso,Centro-Oeste
138,Isabela Cavalcante,Feminino,28,Jundiaí,São Paulo,Sudeste
139,Nicolas Mendonça,Masculino,42,São Paulo,São Paulo,Sudeste
140,Rodrigo Cunha,Masculino,35,Joinville,Santa Catarina,Sul
141,Maria Liz Araújo,Feminino,28,Piracicaba,São Paulo,Sudeste
142,Eloah Garcia,Feminino,18,Cotia,São Paulo,Sudeste
143,Alexandre Gomes,Masculino,37,Belo Horizonte,Minas Gerais,Sudeste
144,Julia Viana,Feminino,27,São Paulo,São Paulo,Sudeste
145,Rafael da Paz,Masculino,34,Linhares,Espírito Santo,Sudeste
146,Mariana Sampaio,Feminino,40,Maceió,Alagoas,Nordeste
147,Ryan Cassiano,Masculino,44,Rio de Janeiro,Rio de Janeiro,Sudeste
148,Gabriel da Rocha,Masculino,30,Aracaju,Sergipe,Nordeste
149,Helena Araújo,Feminino,28,Cariacica,Espírito Santo,Sudeste
150,Ágatha Araújo,Feminino,22,Barra Mansa,Rio de Janeiro,Sudeste
151,Levi Araújo,Masculino,44,Uberaba,Minas Gerais,Sudeste
152,Benicio Pacheco,Masculino,56,São Gonçalo,Rio de Janeiro,Sudeste
153,Pietra Montenegro,Feminino,45,Salvador,Bahia,Nordeste
154,Vinícius Castro,Masculino,48,São Paulo,São Paulo,Sudeste
155,Benjamin Moraes,Masculino,28,Rio de Janeiro,Rio de Janeiro,Sudeste
156,Bruno Cirino,Masculino,39,Natal,Rio Grande do Norte,Nordeste
157,Bernardo Peixoto,Masculino,43,São Paulo,São Paulo,Sudeste
158,Bernardo Rocha,Masculino,18,Rio de Janeiro,Rio de Janeiro,Sudeste
159,Isabela Guerra,Feminino,25,Teresina,Piauí,Nordeste
160,Bárbara Nunes,Feminino,51,São João de Meriti,Rio de Janeiro,Sudeste
161,Josué Pacheco,Masculino,21,São Paulo,São Paulo,Sudeste
162,Asafe Pinto,Masculino,49,Uberlândia,Minas Gerais,Sudeste
163,Bruno Leão,Masculino,21,Marília,São Paulo,Sudeste
164,Stephany Dias,Feminino,25,São Paulo,São Paulo,Sudeste
165,Joana Costela,Feminino,40,Campina Grande,Paraíba,Nordeste
166,Levi da Costa,Masculino,36,Jaraguá do Sul,Santa Catarina,Sul
167,Julia Gonçalves,Feminino,31,Aparecida de Goiânia,Goiás,Centro-Oeste
168,Davi Lucca Rios,Masculino,51,Duque de Caxias,Rio de Janeiro,Sudeste
169,Letícia Marques,Feminino,23,Feira de Santana,Bahia,Nordeste
170,Luara Sá,Feminino,33,Mesquita,Rio de Janeiro,Sudeste
171,Ana Sophia Albuquerque,Feminino,41,Luziânia,Goiás,Centro-Oeste
172,Natália Pinto,Feminino,38,São Paulo,São Paulo,Sudeste
173,Carlos Eduardo Barbosa,Masculino,29,Recife,Pernambuco,Nordeste
174,Zoe Cunha,Feminino,29,Rio de Janeiro,Rio de Janeiro,Sudeste
175,Sofia da Luz,Feminino,43,Itaquaquecetuba,São Paulo,Sudeste
176,Caroline Ferreira,Feminino,44,Paulista,Pernambuco,Nordeste
177,Bernardo da Cruz,Masculino,38,Santa Maria,Rio Grande do Sul,Sul
178,Maria Eduarda da Paz,Feminino,27,São José dos Pinhais,Paraná,Sul
179,Emanuel Macedo,Masculino,29,São José,Santa Catarina,Sul
180,Yago Santos,Masculino,35,Guarulhos,São Paulo,Sudeste
181,Liz Pimenta,Feminino,36,Várzea Grande,Mato Grosso,Centro-Oeste
182,Vinícius Albuquerque,Masculino,40,Americana,São Paulo,Sudeste
183,Yuri da Rosa,Masculino,33,Teresina,Piauí,Nordeste
184,Bella Carvalho,Feminino,43,São Paulo,São Paulo,Sudeste
185,João Camargo,Masculino,43,São Leopoldo,Rio Grande do Sul,Sul
186,Cauê Souza,Masculino,48,Recife,Pernambuco,Nordeste
187,Yuri Cassiano,Masculino,35,Palhoça,Santa Catarina,Sul
188,João Gabriel da Paz,Masculino,38,Timon,Maranhão,Nordeste
189,Giovanna Silva,Feminino,34,Aparecida de Goiânia,Goiás,Centro-Oeste
190,Manuela Costela,Feminino,27,Curitiba,Paraná,Sul
191,Julia Montenegro,Feminino,56,Goiânia,Goiás,Centro-Oeste
192,Samuel da Cunha,Masculino,47,Sumaré,São Paulo,Sudeste
193,Benjamim Borges,Masculino,43,Sumaré,São Paulo,Sudeste
194,Mariana da Mota,Feminino,35,São Paulo,São Paulo,Sudeste
195,Augusto Abreu,Masculino,26,Aracaju,Sergipe,Nordeste
196,Lívia Vargas,Feminino,45,Porto Alegre,Rio Grande do Sul,Sul
197,Caroline Porto,Feminino,34,Rio de Janeiro,Rio de Janeiro,Sudeste
198,João Castro,Masculino,39,Porto Velho,Rondônia,Norte
199,Pedro Miguel Novaes,Masculino,29,São Paulo,São Paulo,Sudeste
200,Paulo Novais,Masculino,37,São Paulo,São Paulo,Sudeste
201,Anthony Camargo,Masculino,30,Volta Redonda,Rio de Janeiro,Sudeste
202,Breno Sales,Masculino,30,São Paulo,São Paulo,Sudeste
203,Clarice Nogueira,Feminino,37,Caxias,Maranhão,Nordeste
204,Arthur Miguel Freitas,Masculino,21,Marabá,Pará,Norte
205,Clara Lopes,Feminino,21,Ilhéus,Bahia,Nordeste
206,Davi Lucas Aparecida,Masculino,28,Várzea Grande,Mato Grosso,Centro-Oeste
207,Leandro Fonseca,Masculino,33,Londrina,Paraná,Sul
208,Ana Cecília Fogaça,Feminino,44,São Paulo,São Paulo,Sudeste
209,Gustavo Henrique Rodrigues,Masculino,33,Sorocaba,São Paulo,Sudeste
210,Josué Rios,Masculino,35,São Paulo,São Paulo,Sudeste
211,Bella Fogaça,Feminino,32,Rio de Janeiro,Rio de Janeiro,Sudeste
212,Maria Luísa Pinto,Feminino,38,São Vicente,São Paulo,Sudeste
213,Daniela da Costa,Feminino,27,Campos dos Goytacazes,Rio de Janeiro,Sudeste
214,Elisa Cavalcanti,Feminino,34,Manaus,Amazonas,Norte
215,Noah Alves,Masculino,39,Itapevi,São Paulo,Sudeste
216,Felipe Sousa,Masculino,37,São Paulo,São Paulo,Sudeste
217,Lucas Gabriel Viana,Masculino,35,Aracaju,Sergipe,Nordeste
218,Maria Sophia Rios,Feminino,35,Macapá,Amapá,Norte
219,Isadora da Mata,Feminino,40,Itaquaquecetuba,São Paulo,Sudeste
220,Emanuel Viana,Masculino,57,Campos dos Goytacazes,Rio de Janeiro,Sudeste
221,Cauê Garcia,Masculino,27,São Leopoldo,Rio Grande do Sul,Sul
222,Ana Carolina Melo,Feminino,57,Manaus,Amazonas,Norte
223,Hellena Costa,Feminino,27,Brasília,Distrito Federal,Centro-Oeste
224,Raul Ferreira,Masculino,18,Campos dos Goytacazes,Rio de Janeiro,Sudeste
225,Lorena Vieira,Feminino,30,São Paulo,São Paulo,Sudeste
226,Heloísa Câmara,Feminino,38,Curitiba,Paraná,Sul
227,Amanda Ribeiro,Feminino,54,Gravataí,Rio Grande do Sul,Sul
228,Gael Guerra,Masculino,26,Cabo de Santo Agostinho,Pernambuco,Nordeste
229,Luísa da Mota,Feminino,40,Volta Redonda,Rio de Janeiro,Sudeste
230,Bernardo Vargas,Masculino,22,Nova Friburgo,Rio de Janeiro,Sudeste
231,Lara Ferreira,Feminino,53,Maracanaú,Ceará,Nordeste
232,Thomas Guerra,Masculino,47,Caxias,Maranhão,Nordeste
233,Zoe Farias,Feminino,30,Rio de Janeiro,Rio de Janeiro,Sudeste
234,Arthur Camargo,Masculino,18,Teresópolis,Rio de Janeiro,Sudeste
235,José Pedro Cavalcanti,Masculino,49,Rondonópolis,Mato Grosso,Centro-Oeste
236,Julia Andrade,Feminino,34,Campo Grande,Mato Grosso do Sul,Centro-Oeste
237,Cauê Peixoto,Masculino,47,Manaus,Amazonas,Norte
238,Pedro Henrique Ferreira,Masculino,35,Suzano,São Paulo,Sudeste
239,Luara Lopes,Feminino,35,Ferraz de Vasconcelos,São Paulo,Sudeste
240,Sophia Camargo,Feminino,30,São Bernardo do Campo,São Paulo,Sudeste
241,Matheus Oliveira,Masculino,41,Rio de Janeiro,Rio de Janeiro,Sudeste
242,Gabriel da Cunha,Masculino,36,Salvador,Bahia,Nordeste
243,Ana Clara Santos,Feminino,40,Anápolis,Goiás,Centro-Oeste
244,Maya Abreu,Feminino,20,Rio de Janeiro,Rio de Janeiro,Sudeste
245,Stephany Nascimento,Feminino,48,Anápolis,Goiás,Centro-Oeste
246,Fernanda Fonseca,Feminino,51,Cuiabá,Mato Grosso,Centro-Oeste
247,Pedro Azevedo,Masculino,36,Jacareí,São Paulo,Sudeste
248,Luísa Pinto,Feminino,56,Magé,Rio de Janeiro,Sudeste
249,Luara Ribeiro,Feminino,53,Maceió,Alagoas,Nordeste
250,Camila Silveira,Feminino,41,Blumenau,Santa Catarina,Sul
251,Kaique Montenegro,Masculino,49,Fortaleza,Ceará,Nordeste
252,Luana Rios,Feminino,46,São Luís,Maranhão,Nordeste
253,Maria Luísa Duarte,Feminino,18,João Pessoa,Paraíba,Nordeste
254,Maria Luiza Sampaio,Feminino,32,São José dos Campos,São Paulo,Sudeste
255,Laís Novaes,Feminino,42,Guarujá,São Paulo,Sudeste
256,Davi Lucas Correia,Masculino,51,Hortolândia,São Paulo,Sudeste
257,Otto Rios,Masculino,21,Timon,Maranhão,Nordeste
258,Maria Helena Rocha,Feminino,18,Duque de Caxias,Rio de Janeiro,Sudeste
259,Erick Pimenta,Masculino,34,Jequié,Bahia,Nordeste
260,Liz Guerra,Feminino,18,São João de Meriti,Rio de Janeiro,Sudeste
261,Agatha da Rosa,Feminino,34,Salvador,Bahia,Nordeste
262,Laura Costela,Feminino,39,Brasília,Distrito Federal,Centro-Oeste
263,Marina Viana,Feminino,26,Porto Alegre,Rio Grande do Sul,Sul
264,Lorenzo Martins,Masculino,34,Maringá,Paraná,Sul
265,Melina Macedo,Feminino,45,Rio de Janeiro,Rio de Janeiro,Sudeste
266,Heitor Moraes,Masculino,30,Brasília,Distrito Federal,Centro-Oeste
267,Renan Vieira,Masculino,27,São Paulo,São Paulo,Sudeste
268,Eloá Ribeiro,Feminino,34,Fortaleza,Ceará,Nordeste
269,Antonella da Paz,Feminino,25,Belém,Pará,Norte
270,Théo Ribeiro,Masculino,55,São Paulo,São Paulo,Sudeste
271,Lucas Gabriel Borges,Masculino,35,Taboão da Serra,São Paulo,Sudeste
272,Isabela Rocha,Feminino,28,Divinópolis,Minas Gerais,Sudeste
273,Leonardo Câmara,Masculino,37,Valparaíso de Goiás,Goiás,Centro-Oeste
274,Fernanda Casa Grande,Feminino,34,São José,Santa Catarina,Sul
275,Amanda Aparecida,Feminino,33,Ribeirão das Neves,Minas Gerais,Sudeste
276,Joaquim Melo,Masculino,30,Guarulhos,São Paulo,Sudeste
277,Ana Sophia Marques,Feminino,29,Osasco,São Paulo,Sudeste
278,Maria Vitória Pires,Feminino,20,Nova Iguaçu,Rio de Janeiro,Sudeste
279,Evelyn Silva,Feminino,49,Ribeirão das Neves,Minas Gerais,Sudeste
280,Matheus Monteiro,Masculino,41,São José dos Campos,São Paulo,Sudeste
281,Maria Liz da Cruz,Feminino,38,Contagem,Minas Gerais,Sudeste
282,Diogo Rezende,Masculino,34,Contagem,Minas Gerais,Sudeste
283,Alana Sá,Feminino,25,Salvador,Bahia,Nordeste
284,Bianca Vasconcelos,Feminino,27,São Paulo,São Paulo,Sudeste
285,Otávio Câmara,Masculino,21,Recife,Pernambuco,Nordeste
286,Emanuelly Sampaio,Feminino,29,Rio de Janeiro,Rio de Janeiro,Sudeste
287,Stella Martins,Feminino,24,Itaboraí,Rio de Janeiro,Sudeste
288,Ana Julia Novais,Feminino,52,Foz do Iguaçu,Paraná,Sul
289,Isadora Campos,Feminino,44,Uberlândia,Minas Gerais,Sudeste
290,Mirella Carvalho,Feminino,36,Belford Roxo,Rio de Janeiro,Sudeste
291,Nicole Rios,Feminino,26,São Vicente,São Paulo,Sudeste
292,Vinícius Novais,Masculino,25,Manaus,Amazonas,Norte
293,Liam Sá,Masculino,33,Belém,Pará,Norte
294,Melina Pimenta,Feminino,44,Belém,Pará,Norte
295,Thiago Lima,Masculino,54,Caxias,Maranhão,Nordeste
296,Yan Machado,Masculino,21,São Paulo,São Paulo,Sudeste
297,Emanuel Souza,Masculino,41,Rio de Janeiro,Rio de Janeiro,Sudeste
298,Olívia Machado,Feminino,28,Brasília,Distrito Federal,Centro-Oeste
299,Joana Sá,Feminino,30,Manaus,Amazonas,Norte
300,Isadora Porto,Feminino,35,Campo Grande,Mato Grosso do Sul,Centro-Oeste
301,Kamilly Vargas,Feminino,27,Itapecerica da Serra,São Paulo,Sudeste
302,Stephany Mendonça,Feminino,33,Teresópolis,Rio de Janeiro,Sudeste
303,Isaque da Mota,Masculino,26,Maracanaú,Ceará,Nordeste
304,Maysa Barbosa,Feminino,29,Rio de Janeiro,Rio de Janeiro,Sudeste
305,João Pedro da Costa,Masculino,43,Anápolis,Goiás,Centro-Oeste
306,João Gabriel Farias,Masculino,36,Aparecida de Goiânia,Goiás,Centro-Oeste
307,Liam Nogueira,Masculino,43,Manaus,Amazonas,Norte
308,Anna Liz Carvalho,Feminino,28,Recife,Pernambuco,Nordeste
309,Clarice da Conceição,Feminino,41,São Gonçalo,Rio de Janeiro,Sudeste
310,Maria Isis Sales,Feminino,19,Rio de Janeiro,Rio de Janeiro,Sudeste
311,Eduardo Santos,Masculino,35,Caxias do Sul,Rio Grande do Sul,Sul
312,Heitor Azevedo,Masculino,41,Rio de Janeiro,Rio de Janeiro,Sudeste
313,Oliver Jesus,Masculino,18,Santo André,São Paulo,Sudeste
314,Lucas Nogueira,Masculino,28,Goiânia,Goiás,Centro-Oeste
315,Nina Leão,Feminino,35,Rio de Janeiro,Rio de Janeiro,Sudeste
316,Ana Liz Costela,Feminino,45,Belo Horizonte,Minas Gerais,Sudeste
317,Otto Gomes,Masculino,29,Petrolina,Pernambuco,Nordeste
318,Antônio Teixeira,Masculino,40,Natal,Rio Grande do Norte,Nordeste
319,Mateus Mendes,Masculino,49,Campo Grande,Mato Grosso do Sul,Centro-Oeste
320,André Fogaça,Masculino,41,São Carlos,São Paulo,Sudeste
321,Kaique Sá,Masculino,33,São Caetano do Sul,São Paulo,Sudeste
322,Maria Julia Leão,Feminino,39,Santa Bárbara d'Oeste,São Paulo,Sudeste
323,Zoe Souza,Feminino,29,Brasília,Distrito Federal,Centro-Oeste
324,Yago Pereira,Masculino,36,Aparecida de Goiânia,Goiás,Centro-Oeste
325,Hellena Mendonça,Feminino,33,Rondonópolis,Mato Grosso,Centro-Oeste
326,Hellena da Mata,Feminino,38,Brasília,Distrito Federal,Centro-Oeste
327,Pedro Henrique Mendonça,Masculino,31,Rio de Janeiro,Rio de Janeiro,Sudeste
328,Arthur Gomes,Masculino,39,Maringá,Paraná,Sul
329,Lucca Rios,Masculino,31,Cuiabá,Mato Grosso,Centro-Oeste
330,Nathan Silveira,Masculino,44,São Luís,Maranhão,Nordeste
331,Eloah Martins,Feminino,32,Mossoró,Rio Grande do Norte,Nordeste
332,Davi Lucas Pinto,Masculino,18,Nova Iguaçu,Rio de Janeiro,Sudeste
333,Yasmin Alves,Feminino,25,Curitiba,Paraná,Sul
334,Maria Júlia Pastor,Feminino,35,Salvador,Bahia,Nordeste
335,Amanda Barros,Feminino,52,Santa Luzia,Minas Gerais,Sudeste
336,Paulo Carvalho,Masculino,43,Luziânia,Goiás,Centro-Oeste
337,Nicole Cirino,Feminino,18,Jundiaí,São Paulo,Sudeste
338,Benicio da Luz,Masculino,20,Rio de Janeiro,Rio de Janeiro,Sudeste
339,Maria Helena Duarte,Feminino,46,Petrópolis,Rio de Janeiro,Sudeste
340,Heitor Marques,Masculino,41,Viamão,Rio Grande do Sul,Sul
341,Luan Fernandes,Masculino,58,Foz do Iguaçu,Paraná,Sul
342,Mateus da Mota,Masculino,30,Salvador,Bahia,Nordeste
343,Otto da Cunha,Masculino,27,São Vicente,São Paulo,Sudeste
344,Anna Liz Melo,Feminino,36,Barueri,São Paulo,Sudeste
345,Allana Souza,Feminino,30,Ipatinga,Minas Gerais,Sudeste
346,Ágatha Aragão,Feminino,45,São Paulo,São Paulo,Sudeste
347,Luiz Fernando Câmara,Masculino,30,Dourados,Mato Grosso do Sul,Centro-Oeste
348,Ana Lívia Vasconcelos,Feminino,32,Cotia,São Paulo,Sudeste
349,Asafe Sá,Masculino,25,Rio de Janeiro,Rio de Janeiro,Sudeste
350,Arthur da Cruz,Masculino,43,Olinda,Pernambuco,Nordeste
351,Gabriela Almeida,Feminino,26,Campina Grande,Paraíba,Nordeste
352,Daniela da Costa,Feminino,39,Belo Horizonte,Minas Gerais,Sudeste
353,Carolina Melo,Feminino,54,Porto Alegre,Rio Grande do Sul,Sul
354,Bruna Nunes,Feminino,18,Nova Iguaçu,Rio de Janeiro,Sudeste
355,Helena Martins,Feminino,50,Bragança Paulista,São Paulo,Sudeste
356,Jade Vargas,Feminino,38,Ribeirão Preto,São Paulo,Sudeste
357,Maria Eduarda Cavalcante,Feminino,24,Caxias do Sul,Rio Grande do Sul,Sul
